epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4131,1.0173,4.84722,2.18654,1.54302,0,0.00627,0.94949,0.59987,0.29163,0.00307,0.46465,0.08971,0.02531,1.6677,5.49336,2.67768,2.5238,0,0.000653333,0.000653333,0.000653333
2,46.8269,1.08117,4.48466,1.49673,1.57955,0,0.63361,0.41919,0.44711,0.17676,0.37132,0.16162,0.11218,0.04036,1.98795,6.59394,2.34155,3.04619,0,0.00129386,0.00129386,0.00129386
3,69.2393,1.1416,4.52888,1.38999,1.60072,0,0.00755,0.42424,0.00434,0.00082,0.00013,0.0202,0,0,3.02861,25.3474,75.9067,6.32832,0,0.00190799,0.00190799,0.00190799
4,91.6213,1.14692,4.52822,1.3432,1.60965,0,0.63932,0.42424,0.48976,0.20038,0.03071,0.11616,0.01821,0.003,1.838,5.3321,1.73318,2.75091,0,0.0018812,0.0018812,0.0018812
5,113.913,1.11667,4.54761,1.32684,1.58111,0,0.47911,0.56061,0.49908,0.17901,0.04439,0.07576,0.01338,0.00395,1.7748,5.29971,2.32964,2.81096,0,0.0018416,0.0018416,0.0018416
6,136.768,1.09123,4.48337,1.31884,1.57264,0,0.5559,0.56566,0.56506,0.26101,0.30628,0.10101,0.08891,0.02464,1.94493,4.81655,1.76471,2.89064,0,0.001802,0.001802,0.001802
7,159.048,1.10386,4.4739,1.29495,1.57889,0,0.82038,0.48441,0.63643,0.32292,0.2617,0.22222,0.12321,0.04015,1.53601,4.86657,1.58213,2.28615,0,0.0017624,0.0017624,0.0017624
8,181.902,1.06241,4.44589,1.23181,1.55773,0,0.76382,0.55556,0.67156,0.4009,0.36725,0.27273,0.1928,0.06389,1.40053,4.74849,1.40847,2.13897,0,0.0017228,0.0017228,0.0017228
9,198.197,1.05356,4.39023,1.20347,1.53107,0,0.90474,0.5303,0.70016,0.40368,0.47279,0.27273,0.22906,0.0696,1.45252,4.5433,1.38271,2.13774,0,0.0016832,0.0016832,0.0016832
10,211.803,1.01855,4.24857,1.17308,1.51201,0,0.84446,0.55556,0.70125,0.4544,0.56366,0.34343,0.2905,0.07693,1.29968,4.4466,1.33066,2.06062,0,0.0016436,0.0016436,0.0016436
11,234.429,1.02288,4.34225,1.20676,1.51732,0,0.84469,0.5303,0.65782,0.41826,0.61272,0.34343,0.35024,0.13289,1.3541,4.3006,1.38814,2.04227,0,0.001604,0.001604,0.001604
12,256.788,1.02755,4.26716,1.16403,1.52646,0,0.90284,0.49495,0.66131,0.44463,0.75166,0.39899,0.41258,0.14547,1.17397,4.21443,1.29184,1.90315,0,0.0015644,0.0015644,0.0015644
13,276.506,1.01293,4.21368,1.14979,1.51745,0,0.80713,0.58081,0.69537,0.44524,0.48464,0.34848,0.26894,0.08483,1.28383,4.32011,1.29492,2.03842,0,0.0015248,0.0015248,0.0015248
14,290.182,0.95339,4.21363,1.08569,1.46837,0,0.85617,0.5303,0.67081,0.42855,0.6309,0.36258,0.34603,0.10687,1.34288,4.31202,1.41345,2.01242,0,0.0014852,0.0014852,0.0014852
15,303.885,0.94333,4.10775,1.071,1.44364,0,0.98125,0.49495,0.6399,0.43139,0.8066,0.40404,0.40036,0.13184,1.27246,4.20298,1.38709,1.99887,0,0.0014456,0.0014456,0.0014456
16,321.752,0.93964,4.11443,1.0412,1.44969,0,0.90353,0.5404,0.69533,0.46366,0.62749,0.35859,0.32934,0.09713,1.18524,4.1833,1.10167,1.86634,0,0.001406,0.001406,0.001406
17,343.665,0.91005,4.06156,1.05122,1.43196,0,0.77933,0.57576,0.68092,0.45602,0.52015,0.29798,0.24379,0.07449,1.23155,4.09154,1.18336,1.87489,0,0.0013664,0.0013664,0.0013664
18,366.947,0.92868,4.097,1.0264,1.45335,0,0.91547,0.52525,0.6873,0.4635,0.76144,0.37879,0.38752,0.1195,1.19645,4.30111,1.22991,1.86256,0,0.0013268,0.0013268,0.0013268
19,389.248,0.8945,4.08783,1.01527,1.40857,0,0.93946,0.5303,0.68119,0.46509,0.53832,0.30303,0.25793,0.06672,1.17036,4.09477,1.12969,1.8484,0,0.0012872,0.0012872,0.0012872
20,413.56,0.93828,4.03286,1.03281,1.44374,0,0.73422,0.59996,0.70088,0.48808,0.63975,0.39899,0.36103,0.1121,1.11834,4.08431,1.13401,1.82003,0,0.0012476,0.0012476,0.0012476
